,ticker,change,change_percent,day_open,day_high,day_low,day_close,day_volume,day_vwap,ask,bid,timestamp,exchange,min_open,min_high,min_low,min_close,min_volume,prev_open,prev_high,prev_low,prev_close,prev_volume,prev_vwap
57,C:GBPMOP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,9.897878,9.897878,9.897878,9.897878,1,9.8979
58,C:INRJPY,0.0,0.0,1.69271,1.69271,1.68651,1.690531,6,1.6898,1.690895,1.690531,1686475086000,48,1.690531,1.690531,1.690531,1.690531,1,1.692681,1.69341,1.690531,1.690531,6,1.6921
59,C:GBPPLN,-0.08359000000000005,-1.6086817623715894,5.11249,5.11287,5.11249,5.11259,3,5.1126,5.28386,5.11259,1686512211000,48,5.11259,5.11259,5.11259,5.11259,1,5.20871,5.2136,5.1855,5.19618,67907,5.2019
60,C:XAUGBP,1.2000000000000455,0.07706139224248944,1558.4,1558.4,1558.4,1558.4,1,1558.4,1561.6,1558.4,1686510280000,48,1558.4,1558.4,1558.4,1558.4,1,1563.4,1566.4,1554.7,1557.2,1029,1561.627
61,C:SEKCZK,0.007868000000000208,0.3884854646297123,2.035899,2.035899,2.031797,2.033169,6,2.0334,2.040026,2.033169,1686512050000,48,2.033169,2.033169,2.033169,2.033169,1,2.025301,2.035899,2.025301,2.025301,3,2.0288
62,C:LSLUSD,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.05273561,0.05273561,0.05273561,0.05273561,1,0.0527
63,C:BHDEUR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,2.388345,2.44978,2.388345,2.388345,3,2.4088
64,C:GBPNGN,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,583.2016,583.2016,583.2016,583.2016,1,583.2016
65,C:DZDUSD,7.151000000000032e-05,0.9862876909199788,0.00732193,0.00732193,0.00732193,0.00732193,1,0.007322,0.00737206,0.00732193,1686469770000,48,0.00732193,0.00732193,0.00732193,0.00732193,1,0.00725042,0.00732193,0.00725042,0.00725042,3,0.0073
66,C:AUDNOK,-0.03971299999999989,-0.5460837299967752,7.258467,7.258467,7.2148,7.2222,25,7.2276,7.277572,7.232615,1686512891000,48,7.2194,7.2222,7.2194,7.2222,2,7.272328,7.272328,7.272328,7.272328,1,7.2723
67,C:EURSAR,0.00010000000000065512,0.0024840400427417622,4.0264,4.0264,3.9614,4.0258,3,4.0045,4.0358,4.0258,1686475076000,48,4.0258,4.0258,4.0258,4.0258,1,4.0264,4.0264,4.0257,4.0257,4,4.0261
68,C:USDBDT,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,106.544053,106.544053,106.544053,106.544053,1,106.5441
69,C:USDZAR,0.004999999999999005,0.02673210686426508,18.7139,18.7139,18.7026,18.7091,7,18.7093,18.7709,18.7091,1686512711000,48,18.7091,18.7091,18.7091,18.7091,1,18.69919,18.7041,18.69919,18.7041,2,18.7016
70,C:MXNCHF,-0.0001414500000000013,-0.27075573870090325,0.05219981,0.05219981,0.05209499,0.05210121,4,0.05213,0.05227805,0.05210121,1686511690000,48,0.05210121,0.05210121,0.05210121,0.05210121,1,0.05224266,0.05224266,0.05224266,0.05224266,1,0.0522
71,C:BZDUSD,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.4851291,0.4851291,0.4851291,0.4851291,1,0.4851
72,C:HTGUSD,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.00712381,0.00712381,0.00712381,0.00712381,1,0.0071
