,operationId,auctionStatus,operationDate,settlementDate,maturityDate,operationType,operationMethod,settlementType,termCalenderDays,term,releaseTime,closeTime,note,lastUpdated,participatingCpty,acceptedCpty,totalAmtSubmitted,totalAmtAccepted
117,RP 032823 1,Results,2023-03-28,2023-03-28,2023-03-29,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-03-28 13:16:05,102.0,102.0,2231749000000,2231749000000
118,RP 032823 2,Results,2023-03-28,2023-03-28,2023-03-29,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-03-28 13:45:52,,,7000000,7000000
119,RP 032723 1,Results,2023-03-27,2023-03-27,2023-03-28,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-03-27 13:15:48,98.0,98.0,2220131000000,2220131000000
120,RP 032723 2,Results,2023-03-27,2023-03-27,2023-03-28,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-03-27 13:45:35,,,0,0
121,RP 032423 1,Results,2023-03-24,2023-03-24,2023-03-27,Reverse Repo,Fixed Rate,Same Day,3,Overnight,12:45,13:15,,2023-03-24 13:15:54,100.0,100.0,2218458000000,2218458000000
122,RP 032423 2,Results,2023-03-24,2023-03-24,2023-03-27,Repo,Multiple Price,Same Day,3,Overnight,13:30,13:45,,2023-03-24 13:45:49,,,0,0
123,RP 032323 1,Results,2023-03-23,2023-03-23,2023-03-24,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-03-23 13:15:49,99.0,99.0,2233956000000,2233956000000
124,RP 032323 2,Results,2023-03-23,2023-03-23,2023-03-24,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-03-23 13:45:48,,,4000000,4000000
125,RP 032223 1,Results,2023-03-22,2023-03-22,2023-03-23,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-03-22 13:16:16,104.0,104.0,2279608000000,2279608000000
126,RP 032223 2,Results,2023-03-22,2023-03-22,2023-03-23,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,The settled amount is $7 million less than the accepted amount due to unsettled trades.,2023-03-22 17:22:00,,,7000000,7000000
127,RP 032123 1,Results,2023-03-21,2023-03-21,2023-03-22,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-03-21 13:16:01,104.0,104.0,2194631000000,2194631000000
128,RP 032123 2,Results,2023-03-21,2023-03-21,2023-03-22,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-03-21 13:45:50,,,1000000,1000000
129,RP 032023 1,Results,2023-03-20,2023-03-20,2023-03-21,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-03-20 13:16:36,97.0,97.0,2098393000000,2098393000000
130,RP 032023 2,Results,2023-03-20,2023-03-20,2023-03-21,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-03-20 13:45:53,,,1000000,1000000
131,RP 031723 1,Results,2023-03-17,2023-03-17,2023-03-20,Reverse Repo,Fixed Rate,Same Day,3,Overnight,12:45,13:15,,2023-03-17 13:15:57,97.0,97.0,2106166000000,2106166000000
132,RP 031723 2,Results,2023-03-17,2023-03-17,2023-03-20,Repo,Multiple Price,Same Day,3,Overnight,13:30,13:45,,2023-03-17 13:46:01,,,0,0
133,RP 031623 1,Results,2023-03-16,2023-03-16,2023-03-17,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-03-16 13:16:10,103.0,103.0,2066319000000,2066319000000
134,RP 031623 2,Results,2023-03-16,2023-03-16,2023-03-17,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-03-16 13:45:47,,,0,0
135,RP 031523 1,Results,2023-03-15,2023-03-15,2023-03-16,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-03-15 13:15:46,101.0,101.0,2055823000000,2055823000000
136,RP 031523 2,Results,2023-03-15,2023-03-15,2023-03-16,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-03-15 13:45:28,,,0,0
137,RP 031423 1,Results,2023-03-14,2023-03-14,2023-03-15,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-03-14 13:15:38,95.0,95.0,2042579000000,2042579000000
138,RP 031423 2,Results,2023-03-14,2023-03-14,2023-03-15,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-03-14 13:45:38,,,0,0
139,RP 031323 1,Results,2023-03-13,2023-03-13,2023-03-14,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2023-03-13 13:15:46,97.0,97.0,2126677000000,2126677000000
140,RP 031323 2,Results,2023-03-13,2023-03-13,2023-03-14,Repo,Multiple Price,Same Day,1,Overnight,13:30,13:45,,2023-03-13 13:45:50,,,0,0
