implied_volatility,open_interest,break_even_price,day_close,day_high,last_updated,day_low,day_open,day_change_percent,day_change,previous_close,day_volume,day_vwap,contract_type,exercise_style,expiration_date,shares_per_contract,strike_price,option_symbol,delta,gamma,theta,vega,ask,ask_size,bid,bid_size,quote_last_updated,midpoint,conditions,exchange,price,sip_timestamp,size,change_to_break_even,underlying_last_updated,underlying_price,underlying_ticker
0.5622071803911325,183,25.455,,,1.6881552e+18,,,,,0.99,,,call,american,2023-07-14,100,24.5,,0.4996964643124693,0.15875860774989886,-0.04221764024682436,0.01799375304890365,1.06,90,0.85,16,,0.955,[232],300.0,0.99,1.6881545110638198e+18,4.0,1.135,,,
0.5635791266570362,306,23.15,,,1.6881552e+18,,,,,0.81,,,put,american,2023-07-14,100,24.0,,-0.42423313961626635,0.1553812985822264,-0.03844644693327546,0.017753494780486278,0.94,9,0.76,366,,0.85,[209],316.0,0.81,1.6881548471662241e+18,5.0,-1.17,,,
0.565186355658299,68,21.82,,,1.6881552e+18,,,,,0.59,,,put,american,2023-07-28,100,22.5,,-0.27264329854800456,0.09049508326644862,-0.02241796632483872,0.021539163330337188,0.79,152,0.57,540,,0.68,[232],312.0,0.59,1.6881480187542922e+18,2.0,-2.5,,,
0.5655413334289497,109,21.985,,,1.6881552e+18,,,,,0.48,,,put,american,2023-07-21,100,22.5,,-0.2497717471171826,0.10045086743528282,-0.025125534665709916,0.018520003709059256,0.56,286,0.47,833,,0.515,[209],322.0,0.48,1.6881548669289196e+18,1.0,-2.34,,,
0.5659515805389609,330,21.945,,,1.6881552e+18,,,,,0.05,,,put,american,2023-07-07,100,22.0,,-0.06945758265563944,0.07844538672554655,-0.020117861948448616,0.005017204296018512,0.06,92,0.05,27,,0.055,[219],322.0,0.05,1.6881547165035502e+18,2.0,-2.37,,,
0.5662638354051022,977,29.25,,,1.6881552e+18,,,,,9.5,,,call,american,2025-01-17,100,20.0,,0.7707988663283138,0.017810696496210057,-0.005990006975328444,0.09446193892107804,9.5,40,9.0,5,,9.25,[209],313.0,9.5,1.6881546206597396e+18,5.0,4.93,,,
0.5671440588291919,1,24.4,,,1.6879824e+18,,,,,6.75,,,call,american,2023-07-28,100,17.5,,0.9888646069263131,0.007855778305791266,-0.0044258789505086426,0.002692974713298652,7.5,81,6.3,142,,6.9,[227],308.0,6.75,1.687968365971e+18,1.0,0.08,,,
0.5675100356077165,175,27.025,,,1.6881552e+18,,,,,9.24,,,call,american,2024-06-21,100,18.0,,0.8170156548149021,0.019560787811952515,-0.006640085068365378,0.0636550410219327,9.65,427,8.4,267,,9.025,[232],308.0,9.24,1.6881484441245064e+18,1.0,2.705,,,
0.5675957288598994,85,21.36,,,1.6881552e+18,,,,,0.13,,,put,american,2023-07-14,100,21.5,,-0.10729140196952376,0.0727513967594691,-0.018612754680541167,0.007372858962844405,0.15,32,0.13,49,,0.14,[209],316.0,0.13,1.6881545755884954e+18,1.0,-2.96,,,
0.5683236318633164,11,21.325,,,1.6881552e+18,,,,,0.7,,,put,american,2023-08-04,100,22.0,,-0.24530953800032207,0.07575421642219018,-0.018914750784542803,0.02381594898592219,0.83,5,0.52,344,,0.675,[209],315.0,0.7,1.6881543349827817e+18,2.0,-3.0,,,
0.5683806956140884,3308,25.055,,,1.6881552e+18,,,,,2.2,,,call,american,2023-07-21,100,23.0,,0.6952212851277927,0.11086447789474682,-0.03108718245482358,0.01878537372866317,2.2,559,1.91,11,,2.055,[209],322.0,2.2,1.6881541077271022e+18,1.0,0.735,,,
0.5699006295915318,1468,25.545,,,1.6881552e+18,,,,,3.1,,,call,american,2023-08-18,100,22.5,,0.6970943482197581,0.07130997671187707,-0.020708570794940286,0.028659068916384974,3.25,479,2.84,9,,3.045,[209],322.0,3.1,1.688154844656301e+18,19.0,1.225,,,
0.5700663301315785,169,25.475,,,1.6881552e+18,,,,,2.59,,,call,american,2023-07-28,100,23.5,,0.6268465113764767,0.10184625523283483,-0.02866809751662371,0.02531415675744916,2.19,175,1.76,18,,1.975,[209],312.0,2.59,1.6881318171152133e+18,1.0,1.155,,,
0.5711572151373572,0,23.18,,,1.6881552e+18,,,,,2.13,,,put,american,2023-08-04,100,25.5,,-0.5680563644598253,0.09569859145159276,-0.023071254494425944,0.029855509843852462,2.72,2,1.92,197,,2.32,[232],308.0,2.13,1.6881531165774019e+18,2.0,-1.14,,,
0.5719328319524619,0,24.975,,,,,,,,,,,call,american,2023-11-17,100,16.0,,0.9227307868568282,0.01706313092568169,-0.006400689959020785,0.019581340949186718,9.5,153,8.45,121,,8.975,,,,,,0.655,,,
