,implied_volatility,open_interest,break_even_price,day_close,day_high,last_updated,day_low,day_open,day_change_percent,day_change,previous_close,day_volume,day_vwap,contract_type,exercise_style,expiration_date,shares_per_contract,strike_price,option_symbol,delta,gamma,theta,vega,ask,ask_size,bid,bid_size,quote_last_updated,midpoint,conditions,exchange,price,sip_timestamp,size,change_to_break_even,underlying_last_updated,underlying_price,underlying_ticker
67,1.3499217286981886,3000,114.995,,,1.6878096e+18,,,,,0.01,,,put,american,2023-07-07,100,115.0,,-0.0005261022811095308,5.564395077226883e-05,-0.00523332455503631,0.00044545964257742074,0.01,8484,0.0,0,,0.005,[209],322.0,0.01,1.687808679932e+18,64.0,-79.3,,,
216,2.2813229619808824,108,194.45,,,1.6878096e+18,,,,,136.5,,,call,american,2023-07-21,100,50.0,,0.9979576868286871,5.6075782451713896e-05,-0.019488817124496457,0.0017395717191632538,145.95,1,142.95,1,,144.45,[209],301.0,136.5,1.687805361233e+18,90.0,0.15,,,
818,0.6054317926110468,130,69.97,,,1.6869456e+18,,,,,0.06,,,put,american,2023-11-17,100,70.0,,-0.001274318839671334,5.734264892211486e-05,-0.0010546122213056046,0.004894065347630994,0.05,6,0.01,1,,0.03,[209],300.0,0.06,1.68692704762e+18,1.0,-124.0,,,
1012,0.6055599791819612,4176,59.955,,,1.6878096e+18,,,,,0.05,,,put,american,2024-01-19,100,60.0,,-0.001545087544255671,5.7394540469539735e-05,-0.0010486662296283747,0.0053150877446465775,0.07,5,0.02,15,,0.045,[209],300.0,0.05,1.687786203146e+18,3.0,-134.0,,,
719,0.6218044457497897,604,74.975,,,1.687896e+18,,,,,0.03,,,put,american,2023-10-20,100,75.0,,-0.0011718612744758118,5.77157167149182e-05,-0.0011245580199804224,0.004616136569664636,0.05,40,0.0,0,,0.025,[209],301.0,0.03,1.687884767985e+18,7.0,-119.0,,,
378,0.8405472043320378,0,99.99,,,,,,,,,,,put,american,2023-07-28,100,100.0,,-0.0007640001434481571,5.947583370700595e-05,-0.002155287715928235,0.0028513619275022787,0.02,5,0.0,0,,0.01,,,,,,-94.3,,,
282,0.9770549186818691,11735,99.99,,,1.6881552e+18,,,,,0.01,,,put,american,2023-07-21,100,100.0,,-0.0007647049605755943,5.9580547452466716e-05,-0.0029243757647274705,0.0007691933135526262,0.02,22,0.0,0,,0.01,[209],316.0,0.01,1.6881540956935642e+18,1.0,-94.3,,,
1115,0.5473343514277209,276,59.95,,,1.6881552e+18,,,,,0.08,,,put,american,2024-03-15,100,60.0,,-0.0016755182396928163,6.0890265477389734e-05,-0.0008992339221070069,0.015823319320489714,0.08,38,0.02,7,,0.05,[209],300.0,0.08,1.6881551271993398e+18,1.0,-134.0,,,
547,0.8084966903101798,636,84.98,,,1.6881552e+18,,,,,0.01,,,put,american,2023-08-18,100,85.0,,-0.0011160926708684354,6.455378671930348e-05,-0.002155830673046882,0.0034402260027716915,0.04,40,0.0,0,,0.02,[209],322.0,0.01,1.6881518124534254e+18,1.0,-109.0,,,
457,0.9604282436788488,0,84.98,,,,,,,,,,,put,american,2023-08-04,100,85.0,,-0.0011174900551631309,6.47111640826421e-05,-0.0030620299802702933,0.002944515701680195,0.04,39,0.0,0,,0.02,,,,,,-109.0,,,
176,0.8376541441689278,57,119.995,,,1.6878096e+18,,,,,0.01,,,put,american,2023-07-14,100,120.0,,-0.0005685783348283361,6.473796321269571e-05,-0.0023357007928919084,0.000666415256578122,0.01,65,0.0,0,,0.005,[232],304.0,0.01,1.687806200367e+18,3.0,-74.3,,,
68,1.2472095126909202,1035,119.995,,,1.6880688e+18,,,,,0.01,,,put,american,2023-07-07,100,120.0,,-0.0005691573288812044,6.486776623133421e-05,-0.005206211566821159,0.00045482730486787903,0.01,6415,0.0,0,,0.005,[209],319.0,0.01,1.688055344046137e+18,10.0,-74.3,,,
630,0.7008778440138386,2176,79.975,,,1.6879824e+18,,,,,0.02,,,put,american,2023-09-15,100,80.0,,-0.001257802659970559,6.603220726293511e-05,-0.001646625617880065,0.0040828807469572475,0.04,5,0.01,6,,0.025,[209],301.0,0.02,1.687978022539e+18,2.0,-114.0,,,
283,0.9081565364348385,5376,104.99,,,1.6881552e+18,,,,,0.01,,,put,american,2023-07-21,100,105.0,,-0.0008204550251339739,6.82779844496413e-05,-0.002893336936548654,0.002536023553157578,0.02,132,0.0,0,,0.01,[209],325.0,0.01,1.6881539352179274e+18,27.0,-89.3,,,
715,0.9158852283256783,1065,54.92,,,1.6881552e+18,,,,,0.01,,,put,american,2023-10-20,100,55.0,,-0.002304811936356363,7.311039911311572e-05,-0.003119937496527149,0.011169545874969863,0.16,10,0.0,0,,0.08,[236],313.0,0.01,1.688142977809944e+18,2.0,-139.0,,,
458,0.896952637282169,0,89.98,,,,,,,,,,,put,american,2023-08-04,100,90.0,,-0.0011966206677869783,7.376288048885838e-05,-0.00304147040238384,0.0030256533517589905,0.04,39,0.0,0,,0.02,,,,,,-104.0,,,
177,0.7717425762360355,52,124.995,,,1.6881552e+18,,,,,0.01,,,put,american,2023-07-14,100,125.0,,-0.0006168692550330431,7.591050824333465e-05,-0.00232333046540943,0.0006788031216108278,0.01,68,0.0,0,,0.005,[209],322.0,0.01,1.6881533488228001e+18,21.0,-69.3,,,
69,1.1487598435625794,1158,124.995,,,1.6880688e+18,,,,,0.01,,,put,american,2023-07-07,100,125.0,,-0.0006175890022653247,7.608467229987358e-05,-0.005178849620170945,0.0004639080329992586,0.01,3444,0.0,0,,0.005,[209],325.0,0.01,1.6880658392958216e+18,80.0,-69.3,,,
1116,0.5205108435846293,27,64.935,,,1.6879824e+18,,,,,0.04,,,put,american,2024-03-15,100,65.0,,-0.0022190215818277135,8.170764962201981e-05,-0.0010856901607135035,0.016414834327777305,0.12,95,0.01,154,,0.065,[219],301.0,0.04,1.687978660921e+18,1.0,-129.0,,,
