,implied_volatility,open_interest,break_even_price,day_close,day_high,last_updated,day_low,day_open,day_change_percent,day_change,previous_close,day_volume,day_vwap,contract_type,exercise_style,expiration_date,shares_per_contract,strike_price,option_symbol,delta,gamma,theta,vega,ask,ask_size,bid,bid_size,quote_last_updated,midpoint,conditions,exchange,price,sip_timestamp,size,change_to_break_even,underlying_last_updated,underlying_price,underlying_ticker
1632,0.3280778262155328,2176,103.175,,,1.6880688e+18,,,,,2.04,,,put,american,2025-06-20,100,105.0,,-0.042218026093959145,0.0010425910959321709,-0.0044253427275178685,0.24974052445496903,2.09,237,1.56,259,,1.825,[209],313.0,2.04,1.688068378949e+18,1.0,-89.3,,,
976,0.3277762477410166,15099,197.175,,,1.6884144e+18,,,,,56.9,,,call,american,2024-01-19,100,140.0,,0.935769864204686,0.0026233180025394304,-0.029080580444726733,0.18156047305835163,57.85,61,56.5,59,,57.175,[209],300.0,56.9,1.688400708421862e+18,1.0,4.725,,,
366,0.32762807621678564,338,245.01,,,1.6884144e+18,,,,,0.02,,,call,american,2023-07-28,100,245.0,,0.00206530554851414,0.0003954029803918673,-0.0022023326715771116,0.004918873772587717,0.02,111,0.0,0,,0.01,[219],319.0,0.02,1.6883981213509978e+18,1.0,52.56,,,
562,0.32571126508397136,25203,159.595,,,1.6884144e+18,,,,,0.41,,,put,american,2023-08-18,100,160.0,,-0.0424375069582267,0.004123007116270113,-0.021108142466212686,0.057911630343567604,0.41,288,0.4,4,,0.405,[236],313.0,0.41,1.6884028958781903e+18,1.0,-32.9,,,
1284,0.32873477501301746,147,201.9,,,1.6880688e+18,,,,,69.7,,,call,american,2024-09-20,100,130.0,,0.9184671895373479,0.002086907835082006,-0.023770283352313182,0.3671299904097837,72.3,11,71.5,16,,71.9,[209],312.0,69.7,1.688053306765e+18,1.0,9.45,,,
1077,0.3605924070740491,1206,197.35,,,1.6884144e+18,,,,,71.9,,,call,american,2024-03-15,100,125.0,,0.9529386446726239,0.0016207278955745073,-0.023779412179881925,0.1893544544489811,72.9,55,71.8,7,,72.35,[209],315.0,71.9,1.6884020403104008e+18,1.0,4.9,,,
204,0.3321592592356454,0,192.15,,,1.6879824e+18,,,,,17.7,,,put,american,2023-07-14,100,207.5,,-0.9150732677951076,0.01655962767325315,-0.06833037142778846,0.05574069307232909,16.15,89,14.55,89,,15.35,[227],312.0,17.7,1.687968825642e+18,1.0,-0.3,,,
43,0.33233117009272545,1912,207.515,,,1.6884144e+18,,,,,0.02,,,call,american,2023-07-07,100,207.5,,0.007448291776956907,0.0034097248903410516,-0.01928528424313123,0.004213298574947607,0.02,166,0.01,201,,0.015,[209],302.0,0.02,1.6884024321190008e+18,1.0,15.065,,,
1079,0.3397241682361602,895,198.325,,,1.6881552e+18,,,,,62.6,,,call,american,2024-03-15,100,135.0,,0.9306237282256368,0.0023653460306551693,-0.02765616859142148,0.19913039905023924,63.65,30,63.0,30,,63.325,[209],325.0,62.6,1.68813230055e+18,1.0,5.875,,,
1378,0.3392685438616055,7,200.575,,,1.687896e+18,,,,,86.27,,,call,american,2024-12-20,100,110.0,,0.952057204406386,0.0011211300629450347,-0.017083165785788283,0.2304167273894009,91.65,50,89.5,30,,90.575,[233],302.0,86.27,1.687883745653e+18,1.0,8.125,,,
1431,0.3390721989427939,222,108.38,,,1.6881552e+18,,,,,1.6,,,put,american,2024-12-20,100,110.0,,-0.04261478845575985,0.0011716292534185288,-0.005586285116397069,0.23297221403080604,1.8,477,1.44,461,,1.62,[209],313.0,1.6,1.688153180789e+18,1.0,-84.1,,,
1380,0.33853638263893354,130,202.275,,,1.6879824e+18,,,,,79.0,,,call,american,2024-12-20,100,120.0,,0.9304706117010698,0.001586861856867784,-0.020403919473403725,0.24901970737038348,82.95,1,81.6,1,,82.275,[227],302.0,79.0,1.687966686391e+18,1.0,9.825,,,
1472,0.3367941163067161,1006,194.8,,,1.6880688e+18,,,,,143.4,,,call,american,2025-01-17,100,50.0,,0.9927284081083809,5.863029435424342e-06,-0.003964421656624947,0.0016976718020816572,145.75,30,143.85,30,,144.8,[209],312.0,143.4,1.688068724464e+18,1.0,2.35,,,
1631,0.3364173124977542,444,98.465,,,1.6881552e+18,,,,,1.53,,,put,american,2025-06-20,100,100.0,,-0.035548888482804596,0.0008847602870984167,-0.004014971046559372,0.24098424536418686,1.79,186,1.28,268,,1.535,[209],313.0,1.53,1.688146088757e+18,1.0,-94.0,,,
879,0.3322624299972127,5562,196.175,,,1.6881552e+18,,,,,56.84,,,call,american,2023-12-15,100,140.0,,0.9484911115035484,0.0024136743474931226,-0.02874482251697433,0.1662606249938655,56.55,4,55.8,4,,56.175,[232],322.0,56.84,1.688152376018e+18,1.0,3.725,,,
732,0.33634807906904035,4969,139.59,,,1.6884144e+18,,,,,0.4,,,put,american,2023-10-20,100,140.0,,-0.02787547643495701,0.0018268306030442937,-0.009755764307598832,0.07911098687438976,0.42,196,0.4,269,,0.41,[227],308.0,0.4,1.6884034315724088e+18,1.0,-52.9,,,
975,0.33569088661106833,9016,196.675,,,1.6884144e+18,,,,,61.39,,,call,american,2024-01-19,100,135.0,,0.9503845987853523,0.0020873189614412316,-0.026441221929359358,0.17676514366196483,62.05,24,61.3,30,,61.675,[209],325.0,61.39,1.6884013911064988e+18,1.0,4.225,,,
1278,0.3356034987308902,20,197.825,,,1.6880688e+18,,,,,95.39,,,call,american,2024-09-20,100,100.0,,0.9775565978232219,0.0005888281515801842,-0.013494607922845075,0.11235183146626967,99.25,50,96.4,30,,97.825,[227],323.0,95.39,1.688060820101e+18,1.0,5.375,,,
1230,0.3353677235058896,6291,118.795,,,1.6884144e+18,,,,,1.2,,,put,american,2024-06-21,100,120.0,,-0.041213347709318435,0.0014244949647791328,-0.006969849858992295,0.20808765058691636,1.3,647,1.11,440,,1.205,[209],313.0,1.2,1.688400400414944e+18,1.0,-73.7,,,
