,Close,High,Open,Low,Volume,Timestamp,RSI
1689354000000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,35.508156807154734
1689357600000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,35.508156807154734
1689361200000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,33.499021037826495
1689364800000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,36.095047397478126
1689368400000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,38.44975466045931
1689372000000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,41.24252559131989
1689375600000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,39.472972705436135
1689379200000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,39.472972705436135
1689580800000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,39.47297270543613
1689584400000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,54.19933237673199
1689588000000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,51.93150296455131
1689591600000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,40.87916019145943
1689595200000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,40.87916019145943
1689598800000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,37.771484970393026
1689602400000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,47.97276377071795
1689606000000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,40.774348552449005
1689609600000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,44.517822520564586
1689613200000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,47.854356406896706
1689616800000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,47.23601866030517
1689620400000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,51.661294909223336
1689624000000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,46.60952632772304
1689627600000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,46.46273888482674
1689631200000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,48.48180422618845
1689634800000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,43.473484607168004
1689638400000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,43.473484607168004
1689667200000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,49.6125750678699
1689670800000,4.63,4.64,4.62,4.61,122824.0,1690585200000.0,51.503296162217325
